chrom	start	end	strand	circRNA_ID	transcript	gene_symbol
1	296951	297743	-	ath_circ_000083	NA	AT1G01820
1	300851	301487	-	ath_circ_000084	NA	AT1G01830
1	306893	308572	-	ath_circ_000085	NA	AT1G01880
1	306893	308573	-	ath_circ_000086	NA	AT1G01880
1	307889	308573	-	ath_circ_000087	NA	AT1G01880
1	308148	308573	-	ath_circ_000088	NA	AT1G01880
1	313567	314225	-	ath_circ_000089	NA	AT1G01910
1	313567	314551	-	ath_circ_000090	NA	AT1G01910
1	313880	314802	-	ath_circ_000091	NA	AT1G01910
1	317979	318433	+	ath_circ_000092	NA	AT1G01920
1	317979	318813	+	ath_circ_000093	NA	AT1G01920
1	323208	323840	+	ath_circ_000094	NA	AT1G01940
1	326332	327084	+	ath_circ_000095	NA	AT1G01950
1	327237	327866	+	ath_circ_000096	NA	AT1G01950
1	327663	327866	+	ath_circ_000097	NA	AT1G01950
1	328424	328555	+	ath_circ_000098	NA	AT1G01950
1	329781	329924	+	ath_circ_000099	NA	AT1G01950
1	329781	330155	+	ath_circ_000100	NA	AT1G01950
1	330245	330289	+	ath_circ_000101	NA	AT1G01950
